Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,3x2.5PushButton,1,TD-1183SN-1.5H(3x2.5),
"C1, C16, C18, C3",0402,4,0.1uF(0402),
C10,CP_Elec_6.3x7.7,1,100uF,
C11,0201,1,100nF(0201 16V 10%),
"C12, C13",0805,2,22uF(0805 35V 20%),
"C14, C15",0402,2,1uF(0402 10V 10%),
"C17, C22",0603,2,100nF(0603 25V 10%),
"C19, C2",0603,2,10uF(0603 35V 20%),
"C20, C4, C8",0402,3,1uF(0402 35V 10%),
"C21, C7",0603,2,100nF(0603 10V 10%),
"C23, C24, C25, C44, C45",0603,5,22uF(0603 16V),
C26,0603,1,100nF(0603 10.0V 10%),
"C27, C28",0402,2,2.2uF(0402 6.3V 10%),
C29,0402,1,4.7uF(0402 10V),
"C30, C31, C32, C33, C34, C35, C36, C38, C39, C40, C41, C42, C43",0402,13,100nF(0402 16.0V 10%),
C37,0603,1,15pF (0603 50V 5%),
"C5, C6, C9",0402,3,1uF(0402 16V 10%),
D1,PESD12VV1BL_315,1,PESD12VV1BL,
"D10, D9",0603,2,LED_blue,
"D2, D4",PESD5V0F1BL,2,PESD5V0F1BL,
D3,D_SOD-123F,1,SMF30CA(30V),
"D5, D7",D_SOD-123F,2,DSS34(3A 500mV),
D6,D_SOD-523,1,BZX584C9V1,
D8,0603,1,LED_Red,
"H1, H2, H3, H4",MountingHole_4.3mm_M4_DIN965_Pad,4,MountingHole_Pad,
"J_5, J_4, J_3, J_2, J",1p_1.5mm_Pad,5,pad,
J1,USB_C_Small,1,USB_C_Receptacle_USB2.0,
J10,TF-SMD_TF-021B-H265,1,Micro_SD_Card,
J12,01x04_MP_sh1.0_Hori,1,UART_4,
J2,01x03_MP_sh1.0_Hori,1,CAM,
J3,1x06-1MP_P1.00mm_Horizontal,1,GPS,
J4,01x05_MP_sh1.0_Hori,1,VTX,
J5,1x06-1MP_P1.00mm_Horizontal,1,DJI O4,
J6,01x08_MP_sh1.0_Hori,1,ESC,
J7,01x04_MP_sh1.0_Hori,1,Upper computer connector/RC input,
J8,01x08_MP_sh1.0_Hori,1,ESC_2,
J9,01x04_MP_sh1.0_Hori,1,USART_1,
"L1, L2",Inductor_0420,2,10uH(0420)(78438357100),
Q1,SOT-23,1,AP40P05,
"R1, R2",0201,2,5.1kR(0201),
"R10, R8",0603,2,20R(0603 25V),
R11,0603,1,7.68kR(0603 25V),
"R12, R9",0603,2,51kR(0603 25V),
"R13, R19",0603,2,41.2kR(0603 25V),
R14,0603,1,200.0kR(0603 50V 1%),
R15,0603,1,22.0kR(0603 50V 1%),
"R16, R17",0603,2,75R(0603 50V),
"R18, R20, R21, R22",0603,4,3.6kR(0603 25V),
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36",0603,10,10kR(0603),
"R3, R5",0402,2,1MR(0402 50V),
"R4, R6",0603,2,100kR(0603 25V),
R7,0603,1,100kR(0603 50V),
"U1, U9",MP9943GQ-Z,2,MP9943GQ-Z,
U19,DCK5,1,SN74LVC1G86DCKR,
"U2, U3",RT9013-33GB,2,RT9013-33GB,
U4,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U5,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,BMI270,
U6,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x5.4mm,1,AT7456E,
U7,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,SPL06,
Y1,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,YXC 0T252016MJBA4SL,
Y2,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,1,YXC_XG1EL89CSI-111YLC-27M 27MHz,
