Designator,Footprint,Quantity,Value,嘉立创元件编号,Comment
BOOT1,"SMD,3x2.5mm​",1,TD-1183SN-1.5H(3x2.5),C2905192,TD-1183SN-1.5H-160
"C1, C16, C18, C3",0402,4,0.1uF(0402),C105883,100nF ±10% 25V
C10,"SMD,D6.3xL7.7mm",1,100uF,C2836437,100uF ±20% 35V
C11,0201,1,100nF(0201 16V 10%),C307380,100nF ±10% 16V
"C12, C13",0805,2,22uF(0805 35V 20%),C22367832,22uF ±20% 35V
"C14, C15",0402,2,1uF(0402 10V 10%),C5137473,1uF ±10% 10V
"C17, C22",0603,2,100nF(0603 25V 10%),C1590,100nF ±10% 25V
"C19, C2",0603,2,10uF(0603 35V 20%),C22367827,10uF ±20% 35V
"C20, C4, C8",0402,3,1uF(0402 35V 10%),C307413,1uF ±10% 35V
"C21, C7",0603,2,100nF(0603 10V 10%),C36911391,100nF ±10% 10V
"C23, C24, C25, C44, C45",0603,5,22uF(0603 16V),C22367828,22uF ±20% 16V
C26,0603,1,100nF(0603 10.0V 10%),C36911391,100nF ±10% 10V
"C27, C28",0402,2,2.2uF(0402 6.3V 10%),C307419,2.2uF ±10% 6.3V
C29,0402,1,4.7uF(0402 10V),C368809,4.7uF ±10% 10V
"C30, C31, C32, C33, C34, C35, C36, C38, C39, C40, C41, C42, C43",0402,13,100nF(0402 16.0V 10%),C60474,100nF ±10% 16V
C37,0603,1,15pF (0603 50V 5%),C107037,15pF ±5% 50V
"C5, C6, C9",0402,3,1uF(0402 16V 10%),C29266,1uF ±10% 16V
D1,DFN1006-2​,1,PESD12VV1BL,C111472,"PESD12VV1BL,315"
"D10, D9",0603,2,LED_blue,C19712531,LED_blue
"D2, D4",SOD-882,2,PESD5V0F1BL,C3001950,PESD5V0F1BL
D3,SOD-123FL,1,SMF30CA(30V),C2857337,SMF30CA
"D5, D7",SOD-123FL,2,DSS34(3A 500mV),C493181,DSS34
D6,SOD-523,1,BZX584C9V1,C19077465,BZX584C9V1
D8,0603,1,LED_Red,C965799,XL-1608SURC-06
J1,SMD,1,USB_C_Receptacle_USB2.0,C42400252,HYCW498-USBC16-735B
J10,SMD,1,Micro_SD_Card,C55247621,LAIL-TF04-T1.7-B
J12,01x04_MP_sh1.0_Hori,1,UART_4,C7430446,ZX-SH1.0-4PWT
J2,01x03_MP_sh1.0_Hori,1,CAM,C7430445,ZX-SH1.0-3PWT
J3,1x06-1MP_P1.00mm_Horizontal,1,GPS,C7430448,ZX-SH1.0-6PWT
J4,01x05_MP_sh1.0_Hori,1,VTX,C7430447,ZX-SH1.0-5PWT
J5,1x06-1MP_P1.00mm_Horizontal,1,DJI O4,C7430448,ZX-SH1.0-6PWT
J6,01x08_MP_sh1.0_Hori,1,ESC,C7430450,ZX-SH1.0-8PWT
J7,01x04_MP_sh1.0_Hori,1,Upper computer connector/RC input,C7430446,ZX-SH1.0-4PWT
J8,01x08_MP_sh1.0_Hori,1,ESC_2,C7430450,ZX-SH1.0-8PWT
J9,01x04_MP_sh1.0_Hori,1,USART_1,C7430446,ZX-SH1.0-4PWT
"L1, L2","SMD,4.4x4.2mm",2,10uH(0420)(78438357100),C177242,10uH ±20% 2.2A
Q1,SOT-23,1,AP40P05,C2886385,AP40P05
"R1, R2",0201,2,5.1kR(0201),C473460,5.1kΩ ±5% 50mW 厚膜电阻
"R10, R8",0603,2,20R(0603 25V),C2907012,20Ω ±1% 100mW 厚膜电阻
R11,0603,1,7.68kR(0603 25V),C321996,厚膜电阻 7.68kΩ ±1% 100mW
"R12, R9",0603,2,51kR(0603 25V),C2907049,51kΩ ±1% 100mW 厚膜电阻
"R13, R19",0603,2,41.2kR(0603 25V),C23166,41.2kΩ ±1% 100mW 厚膜电阻
R14,0603,1,200.0kR(0603 50V 1%),C270127,厚膜电阻 200kΩ ±1% 100mW
R15,0603,1,22.0kR(0603 50V 1%),C286577,厚膜电阻 22kΩ ±1% 100mW
"R16, R17",0603,2,75R(0603 50V),C140069,厚膜电阻 75Ω ±1% 100mW
"R18, R20, R21, R22",0603,4,3.6kR(0603 25V),C22980,3.6kΩ ±1% 100mW 厚膜电阻
"R27, R28, R29, R30, R31, R32, R33, R34, R35, R36",0603,10,10kR(0603),C2906982,10kΩ ±1% 100mW 厚膜电阻
"R3, R5",0402,2,1MR(0402 50V),C2906900,1MΩ ±5% 62.5mW 厚膜电阻
"R4, R6",0603,2,100kR(0603 25V),C115320,厚膜电阻 100kΩ ±1% 100mW
R7,0603,1,100kR(0603 50V),C115320,厚膜电阻 100kΩ ±1% 100mW
"U1, U9",QFN-8(3x3),2,MP9943GQ-Z,C477821,MP9943GQ-Z
U19,SC-70-5,1,SN74LVC1G86DCKR,C52350,SN74LVC1G86DCKR
"U2, U3",SOT-23-5,2,RT9013-33GB,C47773,RT9013-33GB
U4,LQFP-64(10x10),1,STM32F405RGTx,C15742,STM32F405RGT6
U5,LGA-14(2.5x3),1,BMI270,C2836813,BMI270
U6,HTSSOP-28-EP,1,AT7456E,C82351,AT7456E
U7,SOIC-8-208mil,1,W25Q128JVS,C97521,W25Q128JVSIQ
U8,LGA-8(2x2.5),1,SPL06,C2684428,SPL06-001
Y1,SMD3225-4P,1,YXC 0T252016MJBA4SL,C725988,OT322516MJBA4SL
Y2,SMD5032-2P,1,YXC_XG1EL89CSI-111YLC-27M 27MHz,C18214301,XG1EL89CSI-111YLC-27M
