Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,24.2,13.9,0.0,top
C1,17.15,22.65,180.0,bottom
C10,0.9,14.95,0.0,top
C11,21.95,6.9,180.0,bottom
C12,10.5287,-1.074993,180.0,top
C13,14.0287,-0.974993,0.0,top
C14,7.4,-1.85,90.0,bottom
C15,8.5,0.15,270.0,bottom
C16,5.25,20.7,0.0,top
C17,17.25,0.85,180.0,top
C18,5.25,19.55,0.0,top
C19,18.4,11.05,180.0,bottom
C2,14.5787,-0.424993,180.0,bottom
C20,15.8,12.15,0.0,bottom
C21,15.2,7.75,0.0,bottom
C22,18.4,12.65,0.0,bottom
C23,10.9,2.5,0.0,top
C24,14.1,2.5,180.0,top
C25,7.85,19.3,0.0,top
C26,24.2,19.1,180.0,top
C27,16.8,2.3,180.0,top
C28,17.1,20.6,0.0,top
C29,5.25,18.35,0.0,top
C3,5.25,21.8,180.0,top
C30,-0.45,8.75,0.0,top
C31,-2.4,10.9,0.0,top
C32,7.4,0.15,270.0,bottom
C33,6.3,-1.9,90.0,bottom
C34,8.5,-3.85,90.0,bottom
C35,7.4,-3.85,90.0,bottom
C36,8.5,-1.874993,270.0,bottom
C37,4.9,9.75,270.0,top
C38,13.75,12.15,0.0,bottom
C39,13.75,11.05,0.0,bottom
C4,15.3787,-5.7,0.0,bottom
C40,4.6,4.02,90.0,bottom
C41,-0.45,9.85,180.0,top
C42,17.1,22.8,180.0,top
C43,17.1,21.7,180.0,top
C44,18.4,15.9,0.0,bottom
C45,18.4,14.25,0.0,bottom
C5,6.3,-3.85,270.0,bottom
C6,6.3,0.15,90.0,bottom
C7,17.45,-1.224993,0.0,top
C8,-0.445,10.9288,180.0,top
C9,21.85,5.85,180.0,bottom
D1,22.0,8.0,0.0,bottom
D10,3.9,27.89,0.0,top
D2,24.0435,5.9,0.0,bottom
D3,11.8287,-4.074993,0.0,bottom
D4,24.0435,7.15,0.0,bottom
D5,20.3,2.75,90.0,bottom
D6,15.3287,-4.374993,180.0,top
D7,11.25,1.6,0.0,bottom
D8,3.9,31.15,0.0,top
D9,3.9,29.5,0.0,top
H1,-2.177092,-2.122908,0.0,top
H2,-2.177092,23.377092,0.0,top
H3,23.322908,23.377092,0.0,top
H4,23.322908,-2.122908,0.0,top
J_5,-6.0,14.7,0.0,top
J_4,-6.0,17.2,0.0,top
J_3,-6.0,9.7,0.0,top
J_2,-6.0,7.2,0.0,top
J,-6.0,12.2,0.0,top
J1,26.0,7.0,90.0,top
J10,1.25,8.85,90.0,bottom
J12,1.9,30.325,180.0,bottom
J2,9.8,30.4,180.0,top
J3,4.6,-9.25,0.0,bottom
J4,18.65,30.375,180.0,top
J5,10.6,30.45,180.0,bottom
J6,9.3287,-9.25,0.0,top
J7,18.9,-9.15,0.0,top
J8,16.35,-9.25,0.0,bottom
J9,19.4,30.35,180.0,bottom
L1,16.2,2.7,0.0,bottom
L2,23.7,15.5,0.0,bottom
Q1,11.8287,-4.074993,90.0,top
R1,18.65,2.25,0.0,top
R10,18.4,6.1,180.0,bottom
R11,14.1,0.85,0.0,top
R12,18.4,9.4,180.0,bottom
R13,10.9,0.85,180.0,top
R14,11.3537,-2.074993,0.0,bottom
R15,11.3537,-0.474993,180.0,bottom
R16,7.85,20.95,180.0,top
R17,7.85,22.6,180.0,top
R18,15.175,6.1,180.0,bottom
R19,18.4,7.75,180.0,bottom
R2,18.65,3.15,0.0,top
R20,0.61,31.14,0.0,top
R21,0.61,29.52,0.0,top
R22,0.61,27.9,0.0,top
R27,24.2,17.5,0.0,top
R28,24.2,15.9,0.0,top
R29,6.45,6.05,90.0,bottom
R3,17.4287,-5.7,180.0,bottom
R30,4.85,6.62,90.0,bottom
R31,11.0,20.95,0.0,top
R32,11.0,22.6,0.0,top
R33,11.0,19.3,0.0,top
R34,14.25,22.6,0.0,top
R35,24.85,-7.15,180.0,bottom
R36,24.9,-8.8,180.0,bottom
R4,17.7787,-0.424993,0.0,bottom
R5,15.8,11.05,0.0,bottom
R6,15.2,9.4,0.0,bottom
R7,15.2287,-2.774993,0.0,top
R8,18.4287,-4.424993,0.0,top
R9,18.4287,-2.774993,0.0,top
TP1,13.7,-2.05,0.0,bottom
U1,16.5787,-3.224993,0.0,bottom
U19,24.65,-7.75,0.0,top
U2,6.1938,-3.7253,0.0,top
U3,6.1938,0.1605,0.0,top
U4,13.5,11.2,270.0,top
U5,10.6,11.65,270.0,bottom
U6,12.15,19.65,270.0,bottom
U7,1.25,5.17,270.0,top
U8,14.1425,20.0925,180.0,top
U9,11.225021,7.6213,90.0,bottom
Y1,2.375,9.675,90.0,top
Y2,1.4,17.7,0.0,bottom
